code_cbna	libelle	AGEFLOW_MAX	AGEFLOW_MIN	C_Plant	CLONRATE	CNRATIO	DNA	ELLAER_INDK	ELLCONT	ELLCONT_INDK	ELLHUMUS_INDK	ELLLITE	ELLLITE_INDK	ELLMOIST	ELLMOIST_INDK	ELLMOISTVAR_INDK	ELLNIT	ELLNIT_INDK	ELLPH	ELLREAC_INDK	ELLSALT	ELLTEMP	ELLTEMP_INDK	FECUNDITY	GERMRATE	L_ANGLE	L_AREA	L_DRYM	L_FRESHM	L_THICK	LATSPR	LCCp	LD13C	LD15N	LDMC	Leaf_T_Strength	LKC	LNC	LPC	MAX_AGE	MOW_TOLERANCE_INDK	N_Plant	NBCHROM	Palatability	PL_H_flora_MIN	PL_REPR_H	PL_VEG_H	PL_VEG_H_max	ROOT_DEPTH_INDK	SEED_LONGEVITY_INDK	SEEDH	SEEDL	SEEDM	SEEDW	SLA	APOM	CATTLE	CHANGE_TENDENCY_INDK	CLONAab	CLONAbel	DEER	DIASPTYPE	DICH	DISP	DISP_INDK	DISP_VITTOZ	DOM_IN_SITU_INDK	ECOLOGICAL_GRP_INDK	ELLAER_INDK_VAR	ELLCONT_INDK_VAR	ELLHUMUS_INDK_VAR	ELLLITE_INDK_VAR	ELLMOIST_INDK_VAR	ELLNIT_INDK_VAR	ELLREAC_INDK_VAR	ELLSALT_INDK	ELLTEMP_INDK_VAR	ENDEM	FLONSET_BEG_INDK	FLONSET_END_INDK	FRUIT	GERMREQ	GRAZ	GROWTHF	IMMIG_INVASIV_INDK	INFLO_DETAIL	INFLO_SIMPLE	L_ANAT	L_FORM	L_LONG	LHIST	LIFESPAN	LPERST_INDK	MAN_INFLUENCE_INDK	MEDIC_POISON_FX_INDK	MOW	MYCORR	NATURAL	NUTR	PLOIDY	POLL_2ND_INDK	POLL_MAIN_INDK	REPROD_INDK	REPSTRAT	ROOTMET	ROSET	SEEDPROD	STORAGE_ORGANS_INDK	STRAT_INDK	TAPROOT	VEG_DISP	WOODY	CODE_CBNA
9714	Armeria arenaria (Pers.) Schultes					18.78970546		2	2	4	2	8	4	3	1.5	1	2	2	6	2	0	8	3.5				2.5862166665	0.01655	0.070151667			458.271904			242.334748			24.357044695		10	2		9		30	38	3	6					0.57		15.282003605			>					protandrous	Unassisted dispersal	meteorochory	3	scattered or in small groups	unfertilized dry meadows	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	July	Capsule				idiochorophytes or indigenes	capitulum-like cyme	solitary	mesomorphic_scleromorphic	grass-like	persistent green	Chamaephyte_Hemicryptophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)				Indigenous	Chlorophyllian	diploid			hermaphroditic and normal sexual			Rosette plant		root swelling_thick rhizome	crs		basal lateral shoots	Suffrutescent	9714
9717	Armeria arenaria (Pers.) Schultes subsp. bupleuroides (Godron & Gren.) Greuter & Bur											8						2																																																																																															9717
9719	Armeria arenaria (Pers.) Schultes subsp. praecox (Jordan) KerguÚlen							2		4	2		4		1.5	1		2		3			3																		2																								meteorochory		scattered or in small groups		large variation (II)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	July					idiochorophytes or indigenes						Hemicryptophyte		wintergreen	moderately close to nature (moderately urbanophobous)									hermaphroditic and normal sexual					root swelling_thick rhizome	crs		basal lateral shoots		9719
9725	Armeria elongata (Hoffm.) Koch							2		4	1		4		1.5	2		2		2			4.5																		2																								meteorochory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	October					idiochorophytes or indigenes						Hemicryptophyte		partly wintergreen	moderately close to nature (moderately urbanophobous)									hermaphroditic and normal sexual					thick rhizome	css		basal lateral shoots		9725
9730	Armeria halleri Wallr.							2		2	2		4		2	1		1		3			4																																										meteorochory		scattered or in small groups		large variation (II)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		June	August					idiochorophytes or indigenes						Hemicryptophyte		wintergreen	close to nature (strictly urbanophobous)									hermaphroditic and normal sexual					root swelling_thick rhizome	css		basal lateral shoots		9730
9749	Armeria muelleri Huet							2		2	2		4		2	1		1		3			4																																										meteorochory		scattered or in small groups		large variation (II)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		June	August					idiochorophytes or indigenes						Hemicryptophyte		wintergreen	close to nature (strictly urbanophobous)									hermaphroditic and normal sexual					root swelling_thick rhizome	css		basal lateral shoots		9749
9764	Ceratostigma plumbaginoides Bunge							2		2	2		5		2.5	1		3		3			4.5																																			<							boleochory		in larger groups		small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		July	October					neophytes						Chamaephyte_Geophyte		decidous	indifferent (urbanoneutral)									hermaphroditic and normal sexual					thick lignified main roots	ccs		creeping shoots or espaliers		9764
9854	Plumbago europaea L.							2		3	2		4		1.5	1		3		3			5																																			=							boleochory		in larger groups		large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	October					idiochorophytes or indigenes						Chamaephyte		decidous	indifferent (urbanoneutral)	medicinal								hermaphroditic and normal sexual					thick lignified main roots	ccs		no vegetative dispersal parts		9854
9945	Collomia grandiflora Douglas ex Lindley							2		4	2		3		2.5	2		4		3			4																																			<							meteorochory		scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		July	September					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)									cleistogamous_hermaphroditic and normal sexual					no special organ to store energy	rrs		no vegetative dispersal parts		9945
9946	Polemonium caeruleum L.							2		4	2		4		3	1		4		3			2.5																	3	2																	=							boleochory		in larger groups	mountain plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		June	August					presumably indigenous in some areas of the study region and widely spread later but after 1500 AD						Hemicryptophyte		partly wintergreen	moderately close to nature (moderately urbanophobous)								entomogamous	hermaphroditic and normal sexual					thick rhizome	crs		basal lateral shoots		9946
9948	Polygala alpestris Reichenb.							2		3	2	8	4		3	1		2		4			2				4.13	0.02227	0.109595			485.506706237793			209.909303119322			25.9264874458312		9	3		17		6.5	11	9	12.5							17.6863078528756			=					homogamous	Unassisted dispersal	meteorochory_myrmecochory	3	scattered	mountain plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		June	July	Capsule				idiochorophytes or indigenes	simple raceme	raceme	mesomorphic_scleromorphic	simple	persistent green	Hemicryptophyte	pluriennial	partly wintergreen	close to nature (strictly urbanophobous)				Indigenous	Chlorophyllian	diploid		autogamous_entomogamous	hermaphroditic and normal sexual	Polycarpic		Erosulate plant		inconspicuous reserve organ	ccs		basal lateral shoots	Herbaceous	9948
9949	Polygala alpina (DC.) Steudel							2		4	2	8	4		2	1		2		3			1.5																		2				4		6	8										=						Unassisted dispersal	meteorochory_myrmecochory	3	scattered	mountain plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	August	Capsule				idiochorophytes or indigenes	simple raceme	raceme				Chamaephyte_Hemicryptophyte		wintergreen	close to nature (strictly urbanophobous)				Indigenous	Chlorophyllian				hermaphroditic and normal sexual					inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	9949
9955	Polygala amarella Crantz							1	4	3.5	3	8	4	9	3.25	3	1	2	9	4.5			3				0.54	0.003745							194.15						2		17		5		8	12.5	1		0.75	1.85	0.825	0.95	22.72		no or little forage value	>				multi-seeded generative dispersule_one-seeded generative dispersule	homogamous	Unassisted dispersal	meteorochory_myrmecochory	3	scattered	wetland plants	small variation (I)	small variation (I)	large variation (II)	small variation (I)	large variation (II)	small variation (I)	small variation (I)		large variation (II)		April	July_June	Capsule		sensitive		idiochorophytes or indigenes	simple raceme	raceme	mesomorphic_scleromorphic	simple	persistent green	Hemicryptophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)	medicinal	sensitive to moderately tolerant		Indigenous	Chlorophyllian	diploid			hermaphroditic and normal sexual			Hemirosette plant		inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	9955
9958	Polygala calcarea F.W. Schultz						0.43	2	1	1	2	6.5	4	3	1.5	2	2	2	9	5		7	4				3.38	0.01591	0.07313						0.225703188411045						1		17		5	6	3.5	12							20.133538405			>					homogamous	Unassisted dispersal	meteorochory_myrmecochory	3	scattered or in small groups	unfertilized dry meadows	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	June	Capsule				idiochorophytes or indigenes	simple raceme	raceme	mesomorphic_scleromorphic	simple	persistent green	Chamaephyte_Hemicryptophyte	pluriennial	wintergreen	close to nature (strictly urbanophobous)	medicinal			Indigenous	Chlorophyllian	diploid		autogamous_entomogamous	hermaphroditic and normal sexual			Hemirosette plant		inconspicuous reserve organ	css		creeping shoots or espaliers	Herbaceous	9958
9962	Polygala chamaebuxus L.					17.533918895		2	4	3	2	6	3	3	2	2	2	2	8	4		4	2.5	5000			0.8325	0.00338	0.02167625			467.2172165			145.44864			24.13314342		33	1		22	0	3	3	2.5	5	1			5	7.6		26.39563107			>				multi-seeded generative dispersule_one-seeded generative dispersule	homogamous_protandrous	Unassisted dispersal	meteorochory_myrmecochory	3	in larger groups	mountain plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		large variation (II)		March	June	Capsule				idiochorophytes or indigenes	simple raceme	raceme	scleromorphic	simple	persistent green	Chamaephyte	pluriennial	evergreen	close to nature (strictly urbanophobous)				Indigenous	Chlorophyllian	diploid		autogamous_entomogamous	hermaphroditic and normal sexual			Erosulate plant		thick rhizome	ccs		above-ground runners	Suffrutescent	9962
9963	Polygala comosa Schkuhr							2	6	4	2	7	4	3	1.75	1.5	2	2	8	4		6	3.75																	6	2		15		10		16	22	2		0.8	2.65	1.5	1.1	20.29		no or little forage value	>				multi-seeded generative dispersule_one-seeded generative dispersule	homogamous	Unassisted dispersal	meteorochory_myrmecochory	5	scattered	unfertilized dry meadows	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		large variation (II)		April_May	July	Capsule		sensitive		idiochorophytes or indigenes	simple raceme	raceme	mesomorphic_scleromorphic	long-leaf	summer green	Chamaephyte_Hemicryptophyte	pluriennial	partly wintergreen	moderately close to nature (moderately urbanophobous)		sensitive to moderately tolerant		Indigenous	Chlorophyllian	diploid	autogamous	autogamous_entomogamous	hermaphroditic and normal sexual			Erosulate plant		inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	9963
9969	Polygala exilis DC.							2		2	2	9	4		3.5	3		2		3			5																		1				7		11	15										>						Unassisted dispersal	meteorochory_myrmecochory	3	scattered		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		May	September	Capsule				idiochorophytes or indigenes	simple raceme	raceme				Therophyte		partly wintergreen	indifferent (urbanoneutral)				Indigenous	Chlorophyllian				hermaphroditic and normal sexual					inconspicuous reserve organ	rrs		no vegetative dispersal parts	Herbaceous	9969
9971	Polygala monspeliaca L.							2		3	2	9	4		1.5	1		1.5		4			5																		1				7		11	15					1.08					>						Unassisted dispersal	meteorochory_myrmecochory	3	scattered		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	June	Capsule				idiochorophytes or indigenes	simple raceme	raceme				Therophyte		decidous	indifferent (urbanoneutral)				Indigenous	Chlorophyllian				hermaphroditic and normal sexual					no special organ to store energy	rss		no vegetative dispersal parts	Herbaceous	9971
9981	Polygala serpyllifolia J.A.C. Hose							1	2	1	3	8	4	6.5	3.5	3	2	1.5	2	2		4	3				0.26	0.00085							201.32						2		16.5		5		8	10			0.85	2.43		1.25	26.36		no or little forage value	>				multi-seeded generative dispersule_one-seeded generative dispersule	homogamous	Unassisted dispersal	meteorochory_myrmecochory	3	scattered	wetland plants	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		May	September	Capsule	Chilling	sensitive		idiochorophytes or indigenes	simple raceme	raceme	mesomorphic_scleromorphic	simple	persistent green	Chamaephyte_Hemicryptophyte	pluriennial	wintergreen	moderately close to nature (moderately urbanophobous)		sensitive to moderately tolerant	Arbuscular AM	Indigenous	Chlorophyllian	diploid		autogamous_entomogamous	hermaphroditic and normal sexual	Polycarpic		Erosulate plant_Hemirosette plant		inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	9981
9982	Polygala vulgaris L.						0.445	2	3	4	2	6.5	4	5	2	3	2	2	3	2			3.5				0.55	0.0021529591835							235						2		17		9		12	25			0.935	2.67	1.715	1.34	16.145		no or little forage value	>				generative dispersule	homogamous	Unassisted dispersal	meteorochory_myrmecochory	5	scattered	unfertilized dry meadows	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		May	July	Capsule	Chilling	sensitive to moderately tolerant		idiochorophytes or indigenes	simple raceme	raceme	mesomorphic_scleromorphic	long-leaf	persistent green	Chamaephyte_Hemicryptophyte	pluriennial	partly wintergreen	moderately close to nature (moderately urbanophobous)		sensitive to moderately tolerant	Arbuscular AM	Indigenous	Chlorophyllian	tetraploid			hermaphroditic and normal sexual	Polycarpic		Erosulate plant_Hemirosette plant		inconspicuous reserve organ	css		basal lateral shoots	Herbaceous	9982
10008	Fagopyrum esculentum Moench [1796]							3		2	2		4		2.5	1		3		4			4.5																	1																		<							anthropochory		scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	October					archaeophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible_medicinal_weakly to moderately poisonous						autogamous_entomogamous	entomogamous	hermaphroditic and normal sexual					no special organ to store energy	crr		no vegetative dispersal parts		10008
10009	Fagopyrum tataricum (L.) Gaertner							3		3	2		4		2.5	1		3		2			4.5																	1																		<							anthropochory		scattered	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	October					archaeophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)	edible_medicinal_weakly to moderately poisonous						entomogamous	entomogamous	hermaphroditic and normal sexual					no special organ to store energy	crr		no vegetative dispersal parts		10009
10012	Fallopia baldschuanica (Regel) Holub							2		2	2		4		2	2		4		3			5																																			<							meteorochory		in larger groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	October					neophytes						Climber_Phanerophyte		decidous	moderatly hemerobic (moderately urbanophilous)									hermaphroditic and normal sexual					thick lignified main roots	ccs		basal lateral shoots		10012
10013	Fallopia convolvulus (L.) 'A. L÷ve						1.05	2	4	3	2	7	4	4.5	2.5	1	6	4	7	3	0	6	3.5				5.01	0.02398610039							150					1			15		10	75	68	30	3	4	2.36	3.97	3.49	2.465	23.15			=					homogamous	Unassisted dispersal	dysochory_endochory	7	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	September	Achene				archaeophytes	raceme of bibarous cymes	raceme	hygromorphic_mesomorphic	simple	summer green	Climber_Therophyte	annual	decidous	moderatly hemerobic (moderately urbanophilous)	edible			Indigenous	Chlorophyllian	tetraploid		autogamous	hermaphroditic and normal sexual			Erosulate plant		root swelling	crr		no vegetative dispersal parts	Herbaceous	10013
10016	Fallopia dumetorum (L.) Holub						0.5	2		4	2	5.5	3	5	2.5	1	7	4	6	3	0		3.5				19.68	0.0856							239.12					1			10		20	175	175	100			2	3.325	3.3956	2.3	25.79			=					homogamous	Unassisted dispersal	meteorochory	2	scattered or in small groups	forest plants	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	September	Achene	Dry storage			idiochorophytes or indigenes	raceme of bibarous cymes	raceme	hygromorphic_mesomorphic	simple	summer green	Climber_Therophyte	annual_pluriennial	decidous	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian	diploid		autogamous	hermaphroditic and normal sexual	Polycarpic		Erosulate plant		root swelling	crr		no vegetative dispersal parts	Herbaceous	10016
10019	Oxyria digyna (L.) Hill	5	3		0.5			3		2	1	7.5	5	5	3.5	1	3	1.5	3	4	0	2	1	750	88			0.00865							96.02					4			7	3	10	10	13	25	1		0.4	3.65	0.6432	3.5	19.975			=	Rooting stems			one-seeded generative dispersule	homogamous_protogynous	Unassisted dispersal	meteorochory	3	scattered or in small groups	mountain plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		July	August	Achene				idiochorophytes or indigenes	glomerule	solitary	hygromorphic	full	summer green	Hemicryptophyte	pluriennial	decidous	close to nature (strictly urbanophobous)	edible			Indigenous	Chlorophyllian	diploid		anemogamous	hermaphroditic and normal sexual		Primary storage root	Hemirosette plant	mostly sexual and rarely apomictic	root swelling	css	no	basal lateral shoots	Herbaceous	10019
10036	Polygonum alpinum All.							2		3	2	8	4		3.5	1		3.5		2			2.5																		3				40		60	80					1.02					=						Unassisted dispersal	dysochory_endochory	7	in larger groups	mountain plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	July	Achene				idiochorophytes or indigenes	spike of tri-flower cymes	spike				Geophyte_Hemicryptophyte		decidous	moderately close to nature (moderately urbanophobous)				Indigenous	Chlorophyllian				hermaphroditic and normal sexual					thick rhizome	ccs		basal lateral shoots	Herbaceous	10036
10037	Polygonum amphibium L.				6			1		3	2	7	4		4.5	3		3		3			3.5				29.035	0.17623							239						3				40	52.5	50.5	80	3.5		1.1	3.5	4.1845	1.9	16.5			=	Transportable diaspores	Stem-derived rhizomes				Unassisted dispersal	dysochory_endochory	4	in larger stands	wetland plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	large variation (II)	salt tolerant	small variation (I)		June	September	Achene				idiochorophytes or indigenes	spike of tri-flower cymes	spike				Geophyte_Hemicryptophyte_Hydrophyte		decidous	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			entomogamous	hermaphroditic and normal sexual_polysexual			Erosulate plant		thick rhizome	crs	no	below-ground runners	Herbaceous	10037
10042	Polygonum aviculare L.		1				1.3	2		2	2	7	4	5	3.5	1	6	4	6.5	3	0	6	4				3.615	0.0130084166415							207.5					4	2		15		1	27.5	28	20	2.5	5	1.175	2.75	1.45	1.4	29.7		no or little forage value	=			no or little forage value	generative dispersule_one-seeded generative dispersule		Unassisted dispersal	dysochory_endochory	7	in larger groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		May	July	Achene	Chilling	very tolerant		presumably indigenous in some areas of the study region and widely spread later but after 1500 AD			mesomorphic_scleromorphic	simple	summer green	Therophyte	annual	decidous	indifferent (urbanoneutral)	edible_medicinal_weakly to moderately poisonous	sensitive to moderately tolerant	Arbuscular AM	Indigenous	Chlorophyllian	hexaploid_tetraploid		autogamous	hermaphroditic and normal sexual_self-pollinating	Monocarpic		Erosulate plant		no special organ to store energy	rrr	yes	no vegetative dispersal parts	Herbaceous	10042
10045	Polygonum aviculare L. subsp. depressum (Meisn.) Arcangeli							1		3	2		4		3	3		4		3			3.5																		2								2.5									=							dysochory_endochory		in larger groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	October					presumably indigenous in some areas of the study region and widely spread later but after 1500 AD						Therophyte		decidous	indifferent (urbanoneutral)	edible_medicinal_weakly to moderately poisonous							autogamous	hermaphroditic and normal sexual_self-pollinating					no special organ to store energy	rrr		no vegetative dispersal parts		10045
10047	Polygonum aviculare L. subsp. rurivagum (Jordan ex Boreau) Berher							2		3	2	8	4		3	2		4		3																					2				1		5	8										=						Unassisted dispersal	dysochory_endochory	7	in larger groups		large variation (II)	large variation (II)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	salt tolerant	no indication (indifferent taxon)		May	October	Achene				presumably indigenous in some areas of the study region and widely spread later but after 1500 AD	spike of tri-flower cymes	spike				Therophyte		decidous	indifferent (urbanoneutral)_moderatly hemerobic (moderately urbanophilous)_strictly hemerobic (strictly urbanophilous)	edible_medicinal_weakly to moderately poisonous			Indigenous	Chlorophyllian			autogamous	hermaphroditic and normal sexual_self-pollinating					no special organ to store energy	rrr		no vegetative dispersal parts	Herbaceous	10047
10052	Polygonum bellardii All.							2		3	2	7	4		2	1		3.5		4			5																						20		35	50										=						Unassisted dispersal	dysochory_endochory	2	in larger groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	salt tolerant	large variation (II)		May	October	Achene				idiochorophytes or indigenes	spike of tri-flower cymes	spike				Therophyte		decidous	indifferent (urbanoneutral)	edible_medicinal_weakly to moderately poisonous			Indigenous	Chlorophyllian			autogamous	hermaphroditic and normal sexual_self-pollinating					no special organ to store energy	rrr		no vegetative dispersal parts	Herbaceous	10052
10053	Polygonum bistorta L.					14.77337205		1		3	3	7	3		4	2		3.5		3			2.5				13.3356	0.0631	0.2599			420.80356595			248.718959			28.46981645		2	3				40	78	35.5	70	2.5	3	2.43	4.305	5.1445	2.585	19.78570783			>	Rooting stems			generative dispersule		Unassisted dispersal	dysochory_endochory	7	in larger stands	mountain plants	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		large variation (II)		May	August	Achene				idiochorophytes or indigenes	spike of tri-flower cymes	spike				Geophyte_Hemicryptophyte		partly wintergreen	moderately close to nature (moderately urbanophobous)	edible_medicinal			Indigenous	Chlorophyllian			entomogamous	hermaphroditic and normal sexual					thick rhizome	ccs		below-ground runners	Herbaceous	10053
10068	Polygonum hydropiper L.							1		3	2	7	3	8	4	3	8	4	5	3			3.5				16.12	0.036211743145							161										40	46.25	45	60	3.5	5	0.96	3.865	2.085	2.33	43.5			=				generative dispersule		Unassisted dispersal	dysochory	6	in larger groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		July	October	Achene				idiochorophytes or indigenes	spike of tri-flower cymes	spike				Therophyte		decidous	moderately close to nature (moderately urbanophobous)	edible_medicinal_weakly to moderately poisonous			Indigenous	Chlorophyllian			autogamous	cleistogamous_hermaphroditic and normal sexual					no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	10068
10070	Polygonum lapathifolium L.		1				0.7	2		2	2	7	4		3.5	2		5		3			3.5				36.255	0.1855057085							223.5								11		20	55	60	100	3.5	4	0.925	2.565	1.83	1.975	22.45			=				generative dispersule		Unassisted dispersal	dysochory_endochory	6	in larger groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		July	October	Achene				idiochorophytes or indigenes	spike of tri-flower cymes	spike				Therophyte		decidous	indifferent (urbanoneutral)	edible			Indigenous	Chlorophyllian	diploid			hermaphroditic and normal sexual_self-pollinating			Erosulate plant		no special organ to store energy	crr	yes	no vegetative dispersal parts	Herbaceous	10070
10071	Polygonum lapathifolium L. subsp. brittingeri (Opiz) Jav.							1		2	1		4		4	3		4		4			4																																										dysochory_endochory		in larger groups	pioneer plants of low elevation	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	October					idiochorophytes or indigenes						Therophyte		decidous	moderately close to nature (moderately urbanophobous)	edible								hermaphroditic and normal sexual_self-pollinating					no special organ to store energy	crr		no vegetative dispersal parts		10071
10075	Polygonum lapathifolium L. subsp. pallidum (With.) Fries							1		3	2		4		3.5	3		4		3			3.5																										1.5									=							dysochory_endochory		scattered or in small groups		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June	August					young species (neophytes)						Therophyte		decidous	moderatly hemerobic (moderately urbanophilous)	edible								hermaphroditic and normal sexual_self-pollinating					no special organ to store energy	crr		no vegetative dispersal parts		10075
10079	Polygonum minus Hudson		1					1		2	2	7	3		4	2		4		3			4				3.48	0.009765							183.655					2					20	25	21.5	40			0.61	2.155	0.946	1.325	39.9			>				generative dispersule		Unassisted dispersal	dysochory	6	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	October	Achene				idiochorophytes or indigenes	spike of tri-flower cymes	spike				Therophyte		decidous	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			autogamous_entomogamous	hermaphroditic and normal sexual			Erosulate plant		no special organ to store energy	crr	yes	no vegetative dispersal parts	Herbaceous	10079
10080	Polygonum mite Schrank							1		2	2	7	3		4	3		4		4			4				16.185	0.0113							169.89					1					40	35	41.5	60			1.115	2.895	1.434	1.67	34.375			=						Unassisted dispersal	dysochory	7	scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	October	Achene				idiochorophytes or indigenes	spike of tri-flower cymes	spike				Therophyte		decidous	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian			autogamous	hermaphroditic and normal sexual					no special organ to store energy	crr		no vegetative dispersal parts	Herbaceous	10080
10083	Polygonum orientale L.							1		2	2		3		4	2		4		2			5																																			=							anthropochory_dysochory		in larger groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)		small variation (I)		July	October					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)									hermaphroditic and normal sexual					no special organ to store energy	crr		no vegetative dispersal parts		10083
10090	Polygonum persicaria L.		1				0.4	1		3	2	7	4		3	2		4		3			3.5				23.475	0.110341279985							203								22		20	47.5	45	100	2.5	5	0.93	2.98	2.05	2.11	21.5			<				generative dispersule		Unassisted dispersal	dysochory_endochory	6	in larger groups	weeds and ruderal plants	large variation (II)	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	large variation (II)		large variation (II)		July	October	Achene				idiochorophytes or indigenes	spike of tri-flower cymes	spike				Therophyte		decidous	indifferent (urbanoneutral)	edible			Indigenous	Chlorophyllian	tetraploid		autogamous_entomogamous	hermaphroditic and normal sexual			Erosulate plant		no special organ to store energy	crr	yes	no vegetative dispersal parts	Herbaceous	10090
10091	Polygonum polystachyum Meisner in Wall.							1		3	2		3		3.5	2		4		3			4.5																	2	3																	<							meteorochory		in larger stands	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		July	October					"invasive neophytes (""agressive"")"						Geophyte		decidous	moderatly hemerobic (moderately urbanophilous)									hermaphroditic and normal sexual					thick rhizome	ccc		basal lateral shoots		10091
